order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,,,
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,02/10/2017 10:56,02/10/2017 11:07,04/10/2017 19:55,10/10/2017 21:25,18/10/2017 00:00,,,
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,24/07/2018 20:41,26/07/2018 03:24,26/07/2018 14:31,07/08/2018 15:27,13/08/2018 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,43010.4555555556,43010.4631944444,43012.8298611111,43018.8923611111,43026)"
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,08/08/2018 08:38,08/08/2018 08:55,08/08/2018 13:50,17/08/2018 18:06,04/09/2018 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,43305.8618055556,43307.1416666667,43307.6048611111,43319.64375,43325)"
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,18/11/2017 19:28,18/11/2017 19:45,22/11/2017 13:39,02/12/2017 00:28,15/12/2017 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,43320.3597222222,43320.3715277778,43320.5763888889,43329.7541666667,43347)"
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,13/02/2018 21:18,13/02/2018 22:20,14/02/2018 19:46,16/02/2018 18:17,26/02/2018 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,43057.8111111111,43057.8229166667,43061.56875,43071.0194444444,43084)"
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,09/07/2017 21:57,09/07/2017 22:10,11/07/2017 14:58,26/07/2017 10:57,01/08/2017 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,43144.8875,43144.9305555556,43145.8236111111,43147.7618055556,43157)"
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,11/04/2017 12:22,13/04/2017 13:25,00/00/0000 00:00,00/00/0000 00:00,09/05/2017 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,42925.9145833333,42925.9236111111,42927.6236111111,42942.45625,42948)"
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,16/05/2017 13:10,16/05/2017 13:22,22/05/2017 10:07,26/05/2017 12:55,07/06/2017 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,42836.5152777778,42838.5590277778,00/00/0000 00:00,00/00/0000 00:00,42864)"
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,23/01/2017 18:29,25/01/2017 02:50,26/01/2017 14:16,02/02/2017 14:08,06/03/2017 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,42871.5486111111,42871.5569444444,42877.4215277778,42881.5381944444,42893)"
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,29/07/2017 11:55,29/07/2017 12:05,10/08/2017 19:45,16/08/2017 17:14,23/08/2017 00:00,,,"insert into olist_orders_dataset (order_id,customer_id,order_status,order_purchase_timestamp,order_approaved_at,order_delivered_carrier,order_delivered_customer_date,order_estimated_delivery_date) values (76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,42758.7701388889,42760.1180555556,42761.5944444444,42768.5888888889,42800)"
